last_name,first_name,player_id,year,b_ab,batting_avg,slg_percent,on_base_percent,xba,xslg,xwoba,xobp,xiso,xwobacon,xbacon,exit_velocity_avg,launch_angle_avg,barrel_batted_rate,hard_hit_percent
Blackmon,Charlie,453568,2023,87,0.276,0.414,0.394,0.26,0.437,0.366,0.381,0.177,0.356,0.31,84.5,17,8.2,27.4
Turner,Justin,457759,2023,95,0.274,0.389,0.381,0.259,0.452,0.361,0.369,0.193,0.346,0.297,90.6,17,3.6,39.8
Santana,Carlos,467793,2023,92,0.261,0.413,0.34,0.258,0.374,0.318,0.337,0.116,0.343,0.325,89.8,12.5,6.8,38.4
Goldschmidt,Paul,502671,2023,92,0.315,0.533,0.417,0.336,0.632,0.454,0.434,0.296,0.503,0.412,95.9,18.3,14.7,60
Freeman,Freddie,518692,2023,97,0.289,0.464,0.375,0.332,0.564,0.418,0.413,0.233,0.475,0.414,90.2,11.8,10.3,39.7
Rizzo,Anthony,519203,2023,89,0.292,0.517,0.379,0.259,0.498,0.368,0.351,0.24,0.416,0.336,91.4,21.3,10.1,46.4
Semien,Marcus,543760,2023,97,0.278,0.474,0.351,0.232,0.376,0.309,0.316,0.144,0.328,0.291,86.6,15.7,5.1,41
SpringerIII,George,543807,2023,97,0.216,0.32,0.283,0.258,0.452,0.336,0.321,0.194,0.38,0.326,86.9,14.2,11.7,32.5
Trout,Mike,545361,2023,90,0.311,0.578,0.415,0.287,0.551,0.405,0.395,0.264,0.519,0.423,93.6,16.7,16.4,55.7
Abreu,Jose,547989,2023,104,0.24,0.279,0.275,0.239,0.356,0.273,0.274,0.116,0.341,0.319,87.1,6,6.4,38.5
Suarez,Eugenio,553993,2023,92,0.272,0.38,0.346,0.238,0.418,0.321,0.316,0.18,0.412,0.353,91.6,18.2,9.7,46.8
Arenado,Nolan,571448,2023,96,0.26,0.354,0.308,0.253,0.351,0.287,0.301,0.097,0.342,0.329,86.3,14.4,4.1,33.8
Hernandez,Enrique,571771,2023,94,0.234,0.394,0.311,0.216,0.322,0.279,0.296,0.107,0.316,0.295,86.7,22.8,4.3,33.3
Bryant,Kris,592178,2023,93,0.312,0.452,0.379,0.27,0.414,0.333,0.341,0.144,0.364,0.334,84.9,13.5,4,28
Castellanos,Nick,592206,2023,96,0.333,0.531,0.396,0.293,0.462,0.359,0.359,0.17,0.451,0.407,89,9,10.1,40.6
Judge,Aaron,592450,2023,90,0.267,0.522,0.358,0.286,0.623,0.417,0.376,0.338,0.587,0.439,95.2,17.6,22,64.4
Machado,Manny,592518,2023,98,0.214,0.286,0.25,0.206,0.328,0.25,0.243,0.122,0.301,0.27,88.6,15.4,5.3,33.3
Renfroe,Hunter,592669,2023,93,0.28,0.581,0.356,0.236,0.44,0.331,0.317,0.204,0.356,0.293,90.3,11.7,9.3,50.7
Yelich,Christian,592885,2023,96,0.229,0.354,0.321,0.268,0.404,0.34,0.355,0.136,0.435,0.402,93.4,4,4.7,56.3
Bogaerts,Xander,593428,2023,95,0.326,0.526,0.414,0.266,0.448,0.358,0.365,0.182,0.343,0.298,87.9,4.8,8.2,28.2
Profar,Jurickson,595777,2023,88,0.205,0.341,0.284,0.242,0.33,0.306,0.329,0.088,0.356,0.341,86.4,16.1,4.6,33.8
Lindor,Francisco,596019,2023,94,0.213,0.436,0.318,0.219,0.36,0.311,0.326,0.141,0.357,0.316,90.4,14.5,6.1,39.4
Candelario,Jeimer,600869,2023,94,0.245,0.415,0.291,0.227,0.401,0.292,0.276,0.174,0.339,0.289,89.1,13.7,6.8,32.4
Anderson,Brian,605119,2023,87,0.276,0.494,0.35,0.265,0.493,0.372,0.351,0.228,0.478,0.39,86.9,7.2,16.1,35.5
Bell,Josh,605137,2023,90,0.211,0.367,0.314,0.225,0.359,0.308,0.33,0.134,0.343,0.308,89.6,2.6,9,38.8
Betts,Mookie,605141,2023,87,0.241,0.425,0.353,0.225,0.387,0.326,0.339,0.162,0.344,0.297,89.2,16.3,7.6,37.9
Hernandez,Teoscar,606192,2023,94,0.234,0.457,0.27,0.277,0.554,0.376,0.315,0.277,0.515,0.402,91.1,11.8,15.2,47
Nimmo,Brandon,607043,2023,86,0.337,0.477,0.444,0.311,0.467,0.403,0.436,0.156,0.401,0.373,92.1,7,5.3,52
Turner,Trea,607208,2023,107,0.28,0.411,0.325,0.242,0.348,0.273,0.288,0.106,0.343,0.327,87.2,17.2,3.8,34.2
Ramirez,Jose,608070,2023,96,0.271,0.479,0.357,0.283,0.478,0.352,0.369,0.195,0.365,0.318,89.3,19.2,7,40.7
Bregman,Alex,608324,2023,96,0.229,0.365,0.362,0.266,0.477,0.383,0.393,0.21,0.361,0.304,88.3,19.5,7.1,38.1
