last_name,first_name,player_id,year,player_age,b_ab,b_total_pa,b_total_hits,b_single,b_double,b_triple,b_home_run,b_strikeout,b_walk,batting_avg,slg_percent,on_base_percent,on_base_plus_slg
Blackmon,Charlie,453568,2023,36,95,112,25,17,6,0,2,15,12,0.263,0.389,0.375,0.764
McCutchen,Andrew,457705,2023,36,89,107,23,13,5,0,5,17,14,0.258,0.483,0.355,0.838
Turner,Justin,457759,2023,38,104,122,28,21,5,0,2,14,13,0.269,0.375,0.369,0.744
Andrus,Elvis,462101,2023,34,97,108,18,15,3,0,0,20,7,0.186,0.216,0.259,0.476
Santana,Carlos,467793,2023,37,96,108,27,16,9,0,2,19,11,0.281,0.438,0.352,0.789
Martinez,J.D.,502110,2023,35,88,98,22,7,9,2,4,30,6,0.25,0.534,0.306,0.84
Goldschmidt,Paul,502671,2023,35,104,122,32,18,10,0,4,17,17,0.308,0.519,0.41,0.929
Segura,Jean,516416,2023,33,86,91,18,16,2,0,0,16,4,0.209,0.233,0.242,0.474
Marte,Starling,516782,2023,34,85,96,19,14,4,0,1,16,9,0.224,0.306,0.313,0.618
Freeman,Freddie,518692,2023,33,109,125,32,22,6,0,4,21,15,0.294,0.459,0.376,0.835
Grandal,Yasmani,518735,2023,34,79,88,19,9,8,0,2,21,8,0.241,0.418,0.318,0.736
LeMahieu,DJ,518934,2023,34,86,96,22,12,6,1,3,27,7,0.256,0.453,0.323,0.776
Rizzo,Anthony,519203,2023,33,99,115,29,19,5,0,5,25,10,0.293,0.495,0.383,0.878
Perez,Salvador,521692,2023,33,98,105,26,16,7,0,3,19,3,0.265,0.429,0.305,0.733
Berti,Jon,542932,2023,33,79,87,18,12,4,0,2,17,6,0.228,0.354,0.276,0.63
Cron,C.J.,543068,2023,33,94,98,21,12,4,0,5,27,4,0.223,0.426,0.255,0.681
Rendon,Anthony,543685,2023,33,69,87,17,14,3,0,0,11,13,0.246,0.29,0.368,0.658
Semien,Marcus,543760,2023,32,108,123,30,19,6,0,5,22,13,0.278,0.472,0.35,0.822
Springer III,George,543807,2023,33,105,114,22,18,1,0,3,20,8,0.21,0.305,0.272,0.577
Trout,Mike,545361,2023,31,103,120,33,17,9,0,7,31,14,0.32,0.612,0.408,1.02
Abreu,Jose,547989,2023,36,111,116,27,23,4,0,0,27,4,0.243,0.279,0.276,0.555
Diaz,Elias,553869,2023,32,79,87,25,18,5,0,2,17,7,0.316,0.456,0.379,0.835
Suarez,Eugenio,553993,2023,31,102,116,26,20,4,0,2,35,10,0.255,0.353,0.336,0.689
Urshela,Gio,570482,2023,31,93,96,28,25,2,0,1,19,3,0.301,0.355,0.323,0.678
Arenado,Nolan,571448,2023,32,109,117,26,21,3,0,2,25,7,0.239,0.321,0.282,0.603
Hernandez,Enrique,571771,2023,31,98,110,24,15,6,0,3,26,10,0.245,0.398,0.318,0.716
Muncy,Max,571970,2023,32,76,98,19,7,1,0,11,28,21,0.25,0.697,0.418,1.116
Myers,Wil,571976,2023,32,81,89,18,14,2,0,2,31,8,0.222,0.321,0.292,0.613
Taylor,Michael A.,572191,2023,32,86,93,21,14,3,0,4,32,4,0.244,0.419,0.29,0.709
Walker,Christian,572233,2023,32,98,107,25,15,6,0,4,19,5,0.255,0.439,0.29,0.728
Yastrzemski,Mike,573262,2023,32,92,98,26,14,7,0,5,24,5,0.283,0.522,0.327,0.848
Contreras,Willson,575929,2023,31,87,100,23,15,6,0,2,19,11,0.264,0.402,0.35,0.752
Bryant,Kris,592178,2023,31,101,111,30,23,4,0,3,20,9,0.297,0.426,0.36,0.786
Canha,Mark,592192,2023,34,85,100,19,11,6,0,2,19,10,0.224,0.365,0.31,0.675
Castellanos,Nick,592206,2023,31,108,118,35,21,10,0,4,29,10,0.324,0.528,0.381,0.909
Drury,Brandon,592273,2023,30,90,98,22,11,5,1,5,30,5,0.244,0.489,0.286,0.775
Judge,Aaron,592450,2023,31,92,108,24,13,5,0,6,35,14,0.261,0.511,0.352,0.863
Machado,Manny,592518,2023,30,106,114,26,17,5,0,4,24,7,0.245,0.406,0.289,0.695
Realmuto,J.T.,592663,2023,32,92,98,26,16,7,1,2,26,3,0.283,0.446,0.306,0.752
Renfroe,Hunter,592669,2023,31,104,116,27,13,7,0,7,24,11,0.26,0.529,0.328,0.856
Yelich,Christian,592885,2023,31,103,117,23,17,3,0,3,34,13,0.223,0.34,0.316,0.656
Bogaerts,Xander,593428,2023,30,103,121,32,22,4,0,6,16,15,0.311,0.524,0.405,0.929
Profar,Jurickson,595777,2023,30,92,106,20,14,3,0,3,25,11,0.217,0.348,0.292,0.64
Baez,Javier,595879,2023,30,86,95,19,15,4,0,0,19,6,0.221,0.267,0.274,0.541
Lindor,Francisco,596019,2023,29,101,117,22,7,11,0,4,30,11,0.218,0.446,0.316,0.762
Candelario,Jeimer,600869,2023,29,106,115,24,15,5,0,4,24,5,0.226,0.387,0.27,0.656
Anderson,Brian,605119,2023,30,94,108,24,15,4,0,5,31,11,0.255,0.457,0.333,0.791
Bell,Josh,605137,2023,30,98,114,21,9,9,0,3,25,15,0.214,0.398,0.316,0.714
Betts,Mookie,605141,2023,30,99,115,23,12,7,0,4,24,15,0.232,0.424,0.339,0.763
Davis,J.D.,605204,2023,30,80,89,22,15,2,0,5,26,6,0.275,0.488,0.337,0.825
Hernandez,Teoscar,606192,2023,30,106,112,22,13,3,0,6,38,2,0.208,0.406,0.241,0.647
Marte,Ketel,606466,2023,29,97,104,25,13,7,2,3,16,3,0.258,0.464,0.298,0.762
Nimmo,Brandon,607043,2023,30,94,116,31,23,6,0,2,16,17,0.33,0.457,0.431,0.888
Turner,Trea,607208,2023,30,119,126,31,23,4,2,2,31,7,0.261,0.378,0.302,0.68
Ramirez,Jose,608070,2023,30,103,121,30,17,9,1,3,12,16,0.291,0.485,0.38,0.866
Bregman,Alex,608324,2023,29,103,123,22,15,4,0,3,15,19,0.214,0.34,0.341,0.681
Meneses,Joey,608841,2023,31,107,112,28,21,6,0,1,23,5,0.262,0.346,0.295,0.64
Swanson,Dansby,621020,2023,29,93,114,26,22,3,0,1,26,21,0.28,0.344,0.412,0.756
Correa,Carlos,621043,2023,28,91,102,19,12,3,1,3,22,10,0.209,0.363,0.284,0.647
Buxton,Byron,621439,2023,29,93,104,23,11,5,1,6,33,10,0.247,0.516,0.317,0.833
Ward,Taylor,621493,2023,29,106,124,22,17,2,0,3,26,14,0.208,0.311,0.315,0.626
Wisdom,Patrick,621550,2023,31,88,98,22,7,4,1,10,33,9,0.25,0.659,0.327,0.986
Olson,Matt,621566,2023,29,103,122,26,11,6,1,8,43,18,0.252,0.563,0.369,0.932
Santander,Anthony,623993,2023,28,94,107,20,10,8,0,2,30,10,0.213,0.362,0.28,0.642
Alonso,Pete,624413,2023,28,105,116,27,15,2,0,10,27,11,0.257,0.562,0.328,0.889
Conforto,Michael,624424,2023,30,74,87,15,11,0,0,4,28,12,0.203,0.365,0.322,0.687
Frazier,Adam,624428,2023,31,78,87,17,12,3,0,2,10,9,0.218,0.333,0.299,0.632
Soler,Jorge,624585,2023,31,92,103,21,8,8,0,5,25,10,0.228,0.478,0.311,0.789
Cronenworth,Jake,630105,2023,29,96,111,21,8,8,2,3,24,10,0.219,0.438,0.297,0.735
Bellinger,Cody,641355,2023,27,88,101,26,14,5,1,6,17,10,0.295,0.58,0.376,0.956
Crawford,J.P.,641487,2023,28,80,98,19,11,7,0,1,20,17,0.238,0.363,0.367,0.73
Fraley,Jake,641584,2023,28,76,89,18,12,4,0,2,17,11,0.237,0.368,0.337,0.705
Mancini III,Trey,641820,2023,31,87,96,22,18,1,0,3,26,5,0.253,0.368,0.292,0.659
McMahon,Ryan,641857,2023,28,95,107,23,11,8,0,4,38,11,0.242,0.453,0.318,0.77
O'Neill,Tyler,641933,2023,28,81,88,20,14,4,0,2,29,7,0.247,0.37,0.307,0.677
Smith,Dominic,642086,2023,28,90,101,21,19,1,0,1,19,10,0.233,0.278,0.317,0.595
Tellez,Rowdy,642133,2023,28,81,95,20,10,2,0,8,24,12,0.247,0.568,0.337,0.905
Rosario,Amed,642708,2023,27,93,100,21,15,3,2,1,27,5,0.226,0.333,0.26,0.593
Adames,Willy,642715,2023,27,97,117,24,15,4,0,5,30,17,0.247,0.443,0.35,0.794
Estrada,Thairo,642731,2023,27,100,108,35,24,7,0,4,21,5,0.35,0.54,0.398,0.938
Benintendi,Andrew,643217,2023,28,96,104,27,22,5,0,0,17,7,0.281,0.333,0.337,0.67
Cooper,Garrett,643265,2023,32,90,96,24,18,2,1,3,28,4,0.267,0.411,0.302,0.713
Dubon,Mauricio,643289,2023,28,96,101,29,22,6,1,0,9,3,0.302,0.385,0.327,0.712
Kemp,Tony,643393,2023,31,84,96,14,11,2,0,1,13,11,0.167,0.226,0.26,0.487
McNeil,Jeff,643446,2023,31,94,113,28,20,6,1,1,9,15,0.298,0.415,0.416,0.831
Albies,Ozzie,645277,2023,26,103,111,26,16,2,1,7,18,6,0.252,0.495,0.297,0.792
Robles,Victor,645302,2023,26,75,90,20,16,3,1,0,12,8,0.267,0.333,0.356,0.689
Devers,Rafael,646240,2023,26,109,119,26,9,7,0,10,24,7,0.239,0.578,0.286,0.864
Naylor,Josh,647304,2023,26,84,95,18,13,2,0,3,16,8,0.214,0.345,0.274,0.619
Diaz,Aledmys,649557,2023,32,85,93,13,10,2,0,1,20,6,0.153,0.212,0.226,0.438
Arraez,Luis,650333,2023,26,86,98,38,31,5,1,1,5,11,0.442,0.558,0.51,1.068
Torres,Gleyber,650402,2023,26,90,108,22,14,3,1,4,16,17,0.244,0.433,0.361,0.794
Diaz,Yandy,650490,2023,31,94,112,30,19,4,0,7,16,15,0.319,0.585,0.42,1.005
De La Cruz,Bryan,650559,2023,26,88,95,23,16,5,0,2,31,6,0.261,0.386,0.305,0.692
Chapman,Matt,656305,2023,30,94,109,35,17,13,0,5,25,14,0.372,0.67,0.459,1.129
Joe,Connor,656582,2023,30,76,89,22,10,6,2,4,22,11,0.289,0.579,0.393,0.972
Mullins II,Cedric,656775,2023,28,94,112,24,15,4,2,3,18,16,0.255,0.436,0.357,0.793
Schwarber,Kyle,656941,2023,30,102,119,21,11,4,0,6,34,16,0.206,0.422,0.319,0.741
Thomas,Lane,657041,2023,27,93,103,24,20,4,0,0,28,7,0.258,0.301,0.32,0.621
Verdugo,Alex,657077,2023,27,113,124,34,24,6,1,3,16,9,0.301,0.451,0.363,0.814
Olivares,Edward,658668,2023,27,79,85,23,13,6,2,2,17,4,0.291,0.494,0.341,0.835
Ohtani,Shohei,660271,2023,28,106,120,31,20,4,1,6,25,10,0.292,0.519,0.342,0.861
Acuna Jr.,Ronald,660670,2023,25,108,125,38,25,9,0,4,18,16,0.352,0.546,0.44,0.986
Ruiz,Keibert,660688,2023,24,85,94,23,17,4,0,2,7,7,0.271,0.388,0.34,0.729
Contreras,William,661388,2023,25,75,85,23,17,5,0,1,15,10,0.307,0.413,0.388,0.802
Varsho,Daulton,662139,2023,26,94,108,18,12,4,0,2,27,11,0.191,0.298,0.287,0.585
Hoerner,Nico,663538,2023,26,114,123,38,30,5,1,2,9,7,0.333,0.447,0.374,0.821
Riley,Austin,663586,2023,26,99,117,25,16,4,0,5,35,15,0.253,0.444,0.35,0.795
Larnach,Trevor,663616,2023,26,92,109,22,15,3,1,3,33,16,0.239,0.391,0.349,0.74
Mountcastle,Ryan,663624,2023,26,115,121,27,17,4,0,6,26,4,0.235,0.426,0.256,0.682
Hayes,Ke'Bryan,663647,2023,26,104,115,25,14,8,2,1,13,10,0.24,0.385,0.304,0.689
Tucker,Kyle,663656,2023,26,94,115,26,18,3,0,5,18,18,0.277,0.468,0.383,0.851
India,Jonathan,663697,2023,26,99,120,28,19,8,0,1,17,16,0.283,0.394,0.392,0.786
Raleigh,Cal,663728,2023,26,82,91,18,9,5,1,3,30,9,0.22,0.415,0.297,0.711
Grisham,Trent,663757,2023,26,94,111,19,7,8,0,4,31,16,0.202,0.415,0.315,0.73
Stephenson,Tyler,663886,2023,26,93,106,27,21,6,0,0,28,10,0.29,0.355,0.377,0.732
Lowe,Nathaniel,663993,2023,27,107,120,27,14,10,0,3,25,11,0.252,0.43,0.325,0.755
Happ,Ian,664023,2023,28,93,112,28,17,9,0,2,25,18,0.301,0.462,0.411,0.873
France,Ty,664034,2023,28,101,117,25,15,9,0,1,16,10,0.248,0.366,0.342,0.708
Lowe,Brandon,664040,2023,28,81,94,19,10,1,1,7,29,13,0.235,0.531,0.34,0.871
Straw,Myles,664702,2023,28,87,101,24,21,3,0,0,15,11,0.276,0.31,0.356,0.667
Isbel,Kyle,664728,2023,26,80,85,15,7,7,1,0,18,4,0.188,0.3,0.235,0.535
Bohm,Alec,664761,2023,26,105,115,30,20,7,0,3,21,8,0.286,0.438,0.348,0.786
Wade Jr.,LaMonte,664774,2023,29,66,90,16,8,3,1,4,18,20,0.242,0.5,0.433,0.933
Maton,Nick,665155,2023,26,80,91,13,6,3,0,4,25,11,0.163,0.35,0.264,0.614
Pena,Jeremy,665161,2023,25,108,118,26,13,7,0,6,30,5,0.241,0.472,0.297,0.769
Guerrero Jr.,Vladimir,665489,2023,24,106,121,34,24,5,0,5,13,11,0.321,0.509,0.397,0.906
Soto,Juan,665742,2023,24,96,122,18,10,3,0,5,31,26,0.188,0.375,0.361,0.736
Cabrera,Oswaldo,665828,2023,24,82,87,17,12,4,0,1,19,3,0.207,0.293,0.23,0.523
Chisholm Jr.,Jazz,665862,2023,25,103,112,26,18,2,1,5,41,7,0.252,0.437,0.304,0.74
Ruiz,Esteury,665923,2023,24,103,117,26,21,5,0,0,21,3,0.252,0.301,0.316,0.617
Gimenez,Andres,665926,2023,24,96,108,24,15,7,0,2,22,7,0.25,0.385,0.324,0.709
Bichette,Bo,666182,2023,25,114,121,36,26,5,0,5,18,6,0.316,0.491,0.355,0.847
Castro,Rodolfo,666801,2023,24,77,91,22,14,5,0,3,22,10,0.286,0.468,0.385,0.852
Garcia,Adolis,666969,2023,30,102,114,26,15,4,0,7,26,8,0.255,0.5,0.307,0.807
Gurriel Jr.,Lourdes,666971,2023,29,95,101,26,18,6,1,1,17,4,0.274,0.389,0.307,0.696
Arozarena,Randy,668227,2023,28,105,120,35,23,4,1,7,26,10,0.333,0.59,0.4,0.99
Steer,Spencer,668715,2023,25,87,99,22,14,5,1,2,24,10,0.253,0.402,0.333,0.736
Reynolds,Bryan,668804,2023,28,99,112,31,17,8,1,5,19,7,0.313,0.566,0.348,0.914
Rutschman,Adley,668939,2023,25,99,122,29,23,2,0,4,16,21,0.293,0.434,0.41,0.844
Rojas,Josh,668942,2023,29,87,96,25,17,8,0,0,19,6,0.287,0.379,0.323,0.702
Melendez Jr.,MJ,669004,2023,24,90,103,15,8,4,1,2,36,11,0.167,0.3,0.262,0.562
Marsh,Brandon,669016,2023,25,82,94,28,13,7,4,4,27,12,0.341,0.671,0.426,1.096
Langeliers,Shea,669127,2023,25,86,94,20,11,2,1,6,24,5,0.233,0.488,0.298,0.786
Murphy,Sean,669221,2023,28,78,96,20,7,7,0,6,23,16,0.256,0.577,0.396,0.973
Edman,Tommy,669242,2023,28,83,95,22,14,3,1,4,13,10,0.265,0.47,0.347,0.817
Miranda,Jose,669304,2023,25,107,117,26,20,3,0,3,16,9,0.243,0.355,0.308,0.663
Gorman,Nolan,669357,2023,23,86,100,24,13,5,0,6,29,13,0.279,0.547,0.37,0.917
Hays,Austin,669720,2023,27,91,98,29,17,7,1,4,25,7,0.319,0.549,0.367,0.917
Call,Alex,669743,2023,28,79,97,20,16,2,0,2,19,15,0.253,0.354,0.371,0.726
Alvarez,Yordan,670541,2023,26,78,94,21,11,4,0,6,25,12,0.269,0.551,0.383,0.934
Paredes,Isaac,670623,2023,24,88,97,23,14,5,0,4,18,5,0.261,0.455,0.33,0.784
Friedl Jr.,TJ,670770,2023,27,91,104,27,20,4,1,2,22,7,0.297,0.429,0.337,0.765
Casas,Triston,671213,2023,23,75,92,10,4,3,0,3,27,16,0.133,0.293,0.283,0.576
Kelenic,Jarred,672284,2023,23,87,96,28,14,7,0,7,26,8,0.322,0.644,0.375,1.019
Robert Jr.,Luis,673357,2023,25,108,114,23,12,6,0,5,33,4,0.213,0.407,0.246,0.653
Kim,Ha-Seong,673490,2023,27,86,98,18,12,4,0,2,24,10,0.209,0.326,0.296,0.621
Jung,Josh,673962,2023,25,96,103,25,16,4,0,5,35,6,0.26,0.458,0.311,0.769
Burleson,Alec,676475,2023,24,76,85,17,9,4,1,3,10,5,0.224,0.421,0.271,0.692
Franco,Wander,677551,2023,22,110,121,33,16,12,0,5,20,9,0.3,0.545,0.364,0.909
Rodriguez,Julio,677594,2023,22,113,123,27,15,6,1,5,34,8,0.239,0.442,0.301,0.743
Thomas,Alek,677950,2023,23,79,89,15,8,4,1,2,19,8,0.19,0.342,0.27,0.611
Witt Jr.,Bobby,677951,2023,23,112,119,26,16,4,2,4,25,7,0.232,0.411,0.277,0.688
Vargas,Miguel,678246,2023,23,77,96,17,10,5,1,1,19,16,0.221,0.351,0.354,0.705
Tovar,Ezequiel,678662,2023,21,85,91,17,11,5,1,0,29,5,0.2,0.282,0.253,0.535
Torkelson,Spencer,679529,2023,23,95,105,20,14,4,0,2,22,7,0.211,0.316,0.257,0.573
Kwan,Steven,680757,2023,25,107,126,30,26,3,1,0,14,17,0.28,0.327,0.373,0.7
